source_id,shape,source_file,source_sha256,original_filename,landing_url,extractor_support_status,sheet,n_rows,n_cols,title_row_sample,header_row_sample,error
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/2.-balance-sheet.xlsx,bd0610b18724c6c6dc786a72d612b0af7ae4ae7038082cf4f68dab85d8bebf7d,2.-balance-sheet.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/840f704f-8a29-4f2d-bd03-cc3b4000a9d8/download/2.-balance-sheet.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2016-17,49,12,2016-17 Australian Government general government sector balance sheet,"ACTUAL
as at
31 July 2016
$m | ACTUAL
as at
31 August 2016
$m | ACTUAL
as at
30 September 2016
$m | ACTUAL
as at
31 October 2016
$m | ACTUAL
as at
30 November 2016
$m | ACTUAL
as at
31 December 2016
$m | ACTUAL
as at
31 January 2017
$m | ACTUAL
as at
28 February 2017
$m | ACTUAL
as at
31 March 2017
",
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/2.-balance-sheet.xlsx,bd0610b18724c6c6dc786a72d612b0af7ae4ae7038082cf4f68dab85d8bebf7d,2.-balance-sheet.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/840f704f-8a29-4f2d-bd03-cc3b4000a9d8/download/2.-balance-sheet.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2017-18,49,12,2017-18 Australian Government general government sector balance sheet,"ACTUAL
as at
31 July 2017
$m | ACTUAL
as at
31 August 2017
$m | ACTUAL
as at
30 September 2017
$m | ACTUAL
as at
31 October 2017
$m | ACTUAL
as at
30 November 2017
$m | ACTUAL
as at
31 December 2017
$m | ACTUAL
as at
31 January 2018
$m | ACTUAL
as at
28 February 2018
$m | ACTUAL
as at
31 March 2018
",
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/2.-balance-sheet.xlsx,bd0610b18724c6c6dc786a72d612b0af7ae4ae7038082cf4f68dab85d8bebf7d,2.-balance-sheet.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/840f704f-8a29-4f2d-bd03-cc3b4000a9d8/download/2.-balance-sheet.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2018-19,49,12,2018-19 Australian Government general government sector balance sheet,"ACTUAL
as at
31 July 2018
$m | ACTUAL
as at
31 August 2018
$m | ACTUAL
as at
30 September 2018
$m | ACTUAL
as at
31 October 2018
$m | ACTUAL
as at
30 November 2018
$m | ACTUAL
as at
31 December 2018
$m | ACTUAL
as at
31 January 2019
$m | ACTUAL
as at
28 February 2019
$m | ACTUAL
as at
31 March 2019
",
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/2.-balance-sheet.xlsx,bd0610b18724c6c6dc786a72d612b0af7ae4ae7038082cf4f68dab85d8bebf7d,2.-balance-sheet.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/840f704f-8a29-4f2d-bd03-cc3b4000a9d8/download/2.-balance-sheet.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2019-20,49,12,2019-20 Australian Government general government sector balance sheet,"ACTUAL
as at
31 July 2019
$m | ACTUAL
as at
31 August 2019
$m | ACTUAL
as at
30 September 2019
$m | ACTUAL
as at
31 October 2019
$m | ACTUAL
as at
30 November 2019
$m | ACTUAL
as at
31 December 2019 (a)
$m | ACTUAL
as at
31 January 2020
$m | ACTUAL
as at
29 February 2020
$m | ACTUAL
as at
31 March 2",
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/2.-balance-sheet.xlsx,bd0610b18724c6c6dc786a72d612b0af7ae4ae7038082cf4f68dab85d8bebf7d,2.-balance-sheet.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/840f704f-8a29-4f2d-bd03-cc3b4000a9d8/download/2.-balance-sheet.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2020-21,49,12,2020-21 Australian Government general government sector balance sheet,"ACTUAL
as at
31 July 2020
$m | ACTUAL
as at
31 August 2020
$m | ACTUAL
as at
30 September 2020
$m | ACTUAL
as at
31 October 2020
$m | ACTUAL
as at
30 November 2020
$m | ACTUAL
as at
31 December 2020
$m | ACTUAL
as at
31 January 2021
$m | ACTUAL
as at
28 February 2021
$m | ACTUAL
as at
31 March 2021
",
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/2.-balance-sheet.xlsx,bd0610b18724c6c6dc786a72d612b0af7ae4ae7038082cf4f68dab85d8bebf7d,2.-balance-sheet.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/840f704f-8a29-4f2d-bd03-cc3b4000a9d8/download/2.-balance-sheet.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2021-22,49,12,2021-22 Australian Government general government sector balance sheet,"ACTUAL
as at
31 July 2021
$m | ACTUAL
as at
31 August 2021
$m | ACTUAL
as at
30 September 2021
$m | ACTUAL
as at
31 October 2021
$m | ACTUAL
as at
30 November 2021
$m | ACTUAL
as at
31 December 2021
$m | ACTUAL
as at
31 January 2022
$m | ACTUAL
as at
28 February 2022
$m | ACTUAL
as at
31 March 2022
",
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/2.-balance-sheet.xlsx,bd0610b18724c6c6dc786a72d612b0af7ae4ae7038082cf4f68dab85d8bebf7d,2.-balance-sheet.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/840f704f-8a29-4f2d-bd03-cc3b4000a9d8/download/2.-balance-sheet.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2022-23,49,12,2022-23 Australian Government general government sector balance sheet,"ACTUAL
as at
31 July 2022
$m | ACTUAL
as at
31 August 2022
$m | ACTUAL
as at
30 September 2022
$m | ACTUAL
as at
31 October 2022
$m | ACTUAL
as at
30 November 2022
$m | ACTUAL
as at
31 December 2022
$m | ACTUAL
as at
31 January 2023
$m | ACTUAL
as at
28 February 2023
$m | ACTUAL
as at
31 March 2023
",
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/2.-balance-sheet.xlsx,bd0610b18724c6c6dc786a72d612b0af7ae4ae7038082cf4f68dab85d8bebf7d,2.-balance-sheet.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/840f704f-8a29-4f2d-bd03-cc3b4000a9d8/download/2.-balance-sheet.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2023-24,49,12,2023-24 Australian Government general government sector balance sheet,"ACTUAL
as at
31 July 2023
$m | ACTUAL
as at
31 August 2023
$m | ACTUAL
as at
30 September 2023
$m | ACTUAL
as at
31 October 2023
$m | ACTUAL
as at
30 November 2023
$m | ACTUAL
as at
31 December 2023
$m | ACTUAL
as at
31 January 2024
$m | ACTUAL
as at
29 February 2024
$m | ACTUAL
as at
31 March 2024
",
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/2.-balance-sheet.xlsx,bd0610b18724c6c6dc786a72d612b0af7ae4ae7038082cf4f68dab85d8bebf7d,2.-balance-sheet.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/840f704f-8a29-4f2d-bd03-cc3b4000a9d8/download/2.-balance-sheet.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2024-25,49,12,2024-25 Australian Government general government sector balance sheet,"ACTUAL
as at
31 July 2024
$m | ACTUAL
as at
31 August 2024
$m | ACTUAL
as at
30 September 2024
$m | ACTUAL
as at
31 October 2024
$m | ACTUAL
as at
30 November 2024
$m | ACTUAL
as at
31 December 2024
$m | ACTUAL
as at
31 January 2025
$m | ACTUAL
as at
28 February 2025
$m | ACTUAL
as at
31 March 2025
",
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/2.-balance-sheet.xlsx,bd0610b18724c6c6dc786a72d612b0af7ae4ae7038082cf4f68dab85d8bebf7d,2.-balance-sheet.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/840f704f-8a29-4f2d-bd03-cc3b4000a9d8/download/2.-balance-sheet.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2025-26,49,12,2025-26 Australian Government general government sector balance sheet,"ACTUAL
as at
31 July 2025
$m | ACTUAL
as at
31 August 2025
$m | ACTUAL
as at
30 September 2025
$m | ACTUAL
as at
31 October 2025
$m | ACTUAL
as at
30 November 2025
$m | ACTUAL
as at
31 December 2025
$m | ACTUAL
as at
31 January 2026
$m | ACTUAL
as at
28 February 2026
$m | ACTUAL
as at
31 March 2026
",
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/3.-cashflow-statement.xlsx,095a05ffc1d3922d92e627f8ff53fc7cef303933986feeaa35c258fdecff20a2,3.-cashflow-statement.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/2b0c8c9e-e3eb-4809-ab70-ed2b0cf95b1f/download/3.-cashflow-statement.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2005-06,69,13,2005-06 Australian Government general government sector - Cash Flow Statement,ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL,
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/3.-cashflow-statement.xlsx,095a05ffc1d3922d92e627f8ff53fc7cef303933986feeaa35c258fdecff20a2,3.-cashflow-statement.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/2b0c8c9e-e3eb-4809-ab70-ed2b0cf95b1f/download/3.-cashflow-statement.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2006-07,69,13,2006-07 Australian Government general government sector - Cash Flow Statement,ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL,
federal_monthly_financial_statements,legacy bulk acquisition (pre-split),raw/federal/federal_monthly_financial_statements/snapshots/20260721T030430Z/files/3.-cashflow-statement.xlsx,095a05ffc1d3922d92e627f8ff53fc7cef303933986feeaa35c258fdecff20a2,3.-cashflow-statement.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/2b0c8c9e-e3eb-4809-ab70-ed2b0cf95b1f/download/3.-cashflow-statement.xlsx,"not supported - superseded by the per-file sources above (except cash flow statement, which has no dedicated source_id yet); the 288-fact stray preload from this source was removed in Task 1",2007-08,62,12,2007-08 Australian Government general government sector - Cash Flow Statement,ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL | ACTUAL,
